Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198001,Water - Precipitation - rain,1/15/1980,1/1/1980,1/31/1980,,-2.78,International Atomic Energy Agency,-11.6,International Atomic Energy Agency,4.3,0.4,Institute of Geological and Nuclear Sciences,34,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198002,Water - Precipitation - rain,2/15/1980,2/1/1980,2/29/1980,,-1.66,International Atomic Energy Agency,-5.3,International Atomic Energy Agency,4.9,0.5,Institute of Geological and Nuclear Sciences,24,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198003,Water - Precipitation - rain,3/15/1980,3/1/1980,3/31/1980,,-3.31,International Atomic Energy Agency,-19.2,International Atomic Energy Agency,4.3,0.4,Institute of Geological and Nuclear Sciences,25,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198004,Water - Precipitation - rain,4/15/1980,4/1/1980,4/30/1980,,-4.21,International Atomic Energy Agency,-23.3,International Atomic Energy Agency,4.3,0.4,Institute of Geological and Nuclear Sciences,58,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198005,Water - Precipitation - rain,5/15/1980,5/1/1980,5/31/1980,,-3.33,International Atomic Energy Agency,-16,International Atomic Energy Agency,2.5,0.3,Institute of Geological and Nuclear Sciences,81,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198006,Water - Precipitation - rain,6/15/1980,6/1/1980,6/30/1980,,-6.39,International Atomic Energy Agency,-40.7,International Atomic Energy Agency,5.4,0.5,Institute of Geological and Nuclear Sciences,137,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198007,Water - Precipitation - rain,7/15/1980,7/1/1980,7/31/1980,,-4.91,International Atomic Energy Agency,-28.9,International Atomic Energy Agency,5,0.4,Institute of Geological and Nuclear Sciences,93,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198008,Water - Precipitation - rain,8/15/1980,8/1/1980,8/31/1980,,-4.52,International Atomic Energy Agency,-12.9,International Atomic Energy Agency,5.4,0.4,Institute of Geological and Nuclear Sciences,94,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198009,Water - Precipitation - rain,9/15/1980,9/1/1980,9/30/1980,,-3.32,International Atomic Energy Agency,-17.3,International Atomic Energy Agency,6,0.5,Institute of Geological and Nuclear Sciences,74,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198010,Water - Precipitation - rain,10/15/1980,10/1/1980,10/31/1980,,-5.98,International Atomic Energy Agency,-35.4,International Atomic Energy Agency,5.4,0.4,Institute of Geological and Nuclear Sciences,76,,
