"Date","O18"
1904-03-15,-4.85616111755371
1904-04-15,-6.06519508361816
1904-05-15,-5.67889928817749
1904-06-15,-6.34015989303589
1904-07-15,-4.54853296279907
1904-08-15,-5.72037076950073
1904-09-15,-3.68330526351929
1904-10-15,-2.97139263153076
1904-11-15,-4.97540712356567
1904-12-15,-4.07559156417847
1905-01-15,-4.13757419586182
1905-02-15,-3.30188012123108
1905-03-15,-4.36076164245605
1905-04-15,-2.81445145606995
1905-05-15,-5.82951259613037
1905-06-15,-5.5042085647583
1905-07-15,-6.15525960922241
1905-08-15,-5.82411766052246
1905-09-15,-4.31807041168213
1905-10-15,-2.51556777954102
1905-11-15,-4.00517129898071
1905-12-15,-3.74411225318909
1906-01-15,-4.98018455505371
1906-02-15,-2.7641761302948
1906-03-15,-4.30168342590332
1906-04-15,-4.45797824859619
1906-05-15,-3.63545083999634
1906-06-15,-7.02963399887085
1906-07-15,-7.32011842727661
1906-08-15,-5.59994554519653
1906-09-15,-5.31261587142944
1906-10-15,-3.85958290100098
1906-11-15,-4.61483097076416
1906-12-15,-5.19586324691772
1907-01-15,-3.35844326019287
1907-02-15,-4.36394643783569
1907-03-15,-5.16952276229858
1907-04-15,-3.82107496261597
1907-05-15,-4.49707317352295
1907-06-15,-6.42540264129639
1907-07-15,-6.05805587768555
1907-08-15,-7.08968639373779
1907-09-15,-5.50494337081909
1907-10-15,-4.94543838500977
1907-11-15,-4.85095834732056
1907-12-15,-4.51000452041626
1908-01-15,-4.88202047348022
1908-02-15,-3.64261651039124
1908-03-15,-4.05326509475708
1908-04-15,-5.13276243209839
1908-05-15,-6.45155000686646
1908-06-15,-7.51210021972656
1908-07-15,-6.36135530471802
1908-08-15,-6.35417652130127
1908-09-15,-4.88681650161743
1908-10-15,-5.44109964370728
1908-11-15,-4.847580909729
1908-12-15,-4.15904521942139
1909-01-15,-2.72432470321655
1909-02-15,-3.61044001579285
1909-03-15,-3.37195324897766
1909-04-15,-5.78113031387329
1909-05-15,-6.25953674316406
1909-06-15,-5.68846654891968
1909-07-15,-7.6004490852356
1909-08-15,-6.48741388320923
1909-09-15,-4.46503877639771
1909-10-15,-5.0199031829834
1909-11-15,-7.29915618896484
1909-12-15,-4.47364282608032
1910-01-15,-3.10041260719299
1910-02-15,-6.80081033706665
1910-03-15,-5.04850149154663
1910-04-15,-3.67513632774353
1910-05-15,-5.63018274307251
1910-06-15,-6.54512929916382
1910-07-15,-5.27096176147461
1910-08-15,-5.27759885787964
1910-09-15,-4.84989261627197
1910-10-15,-2.90767168998718
1910-11-15,-5.61612844467163
1910-12-15,-3.13248348236084
1911-01-15,-5.39569330215454
1911-02-15,-4.77841806411743
1911-03-15,-3.92704653739929
1911-04-15,-4.72503805160522
1911-05-15,-7.33137464523315
1911-06-15,-6.97667074203491
1911-07-15,-5.36639308929443
1911-08-15,-5.41272830963135
1911-09-15,-5.4372386932373
1911-10-15,-5.55523824691772
1911-11-15,-5.46444320678711
1911-12-15,-4.35180187225342
1912-01-15,-5.0920877456665
1912-02-15,-4.8480372428894
1912-03-15,-4.01324701309204
1912-04-15,-4.43673419952393
1912-05-15,-4.84890699386597
1912-06-15,-6.37066507339478
1912-07-15,-5.190514087677
